v_id,lon,lat,typ,voltage,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label
204,7.4035444340631,51.644449487967,substation,380000,0.006276150627615062,0.003328410368914113,0.0,0.0008282975102541267,High
205,8.93969252741257,52.4030332405173,substation,380000,0.006276150627615062,0.001606690447789847,8.771698990377447e-05,0.0007856201745380947,High
206,9.40952217715674,52.0343151968532,plant,,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
207,7.23579344536789,49.3693923629482,substation,380000,0.0041841004184100415,0.0014258806439581633,7.017359192301957e-05,0.0005574384481453509,High
208,6.81368431456473,49.7248340737293,substation,380000;110000,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
209,8.40826973550855,49.5285689245626,substation,220000,0.006276150627615062,0.0029388934259071387,4.824434444707596e-05,0.0008423947901609162,High
210,9.1907874369222,48.914416873799,substation,380000;220000;110000,0.008368200836820083,0.0014310335118631668,4.824434444707596e-05,0.0009420901461144946,Severe
211,12.1320699705054,54.14245987564,generator,,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
212,12.2135605440795,54.1119998545154,substation,220000;110000,0.0020920502092050207,0.0017209420492945928,0.0,0.00031731138960308886,Moderate
213,8.5712588278729,52.1053649602273,substation,380000;110000,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
214,8.65939116489136,51.9996301226548,substation,380000;220000;110000,0.014644351464435145,0.001606690447789847,8.333114040858574e-05,0.0015872426924161123,Severe
215,7.31136229105814,53.1257665563186,substation,380000;150000;110000,0.010460251046025104,0.002457274126395849,2.6315096971132338e-05,0.001194238830811065,Severe
216,6.94948397153705,53.1235378223082,substation,380000;220000,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
217,8.27327814618118,49.0293980916396,substation,220000;110000,0.0041841004184100415,0.004756165306041048,0.0,0.0007232032083291928,High
218,8.3523338799966,49.4212743386606,substation,220000;110000,0.008368200836820083,0.0039807971000950714,7.455944141820829e-05,0.0011359492320554261,Severe
219,7.72920197913641,49.4826474297682,substation,220000;110000,0.006276150627615062,0.003355407873013921,0.0001140320868749068,0.0009254900438149987,Severe
220,9.79733602695253,52.0008392513306,substation,220000;110000,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
221,10.0821573264928,48.2660901578788,substation,380000,0.010460251046025104,0.003946890129845984,5.2630193942264676e-05,0.001316645683043377,Severe
222,8.62716125806072,49.5435952670263,substation,220000;110000,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
