,v_id,lon,lat,voltage,typ,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label,eigen_centrality,closeness_centrality,clustering_coefficient,load_centrality,avg_shortest_path_length,average_neighbor_degree,node_strength
12609,13382,-75.2403147861091,40.6729092358717,220800.0,station,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.5,0.0,1.8571428571428572,1.0,564874.0
12610,19198,-96.8028131750234,32.7553569546904,345000.0,joint,0.0001334311828674361,0.00011367065993282913,0.0,1.3649193620442732e-05,High,2.262451587737216e-16,0.00028617948068082816,0.0,0.0,0.0,0.0,690000.0
12611,8393,-96.8597683681963,33.1232186593303,138000.0,substation,0.0001334311828674361,4.265084188353226e-05,1.3353801327805856e-08,8.423589850160166e-06,Moderate,6.7508509684184016e-276,6.671559143371805e-05,0.0,1.3353801327805856e-08,1.25,2.0,483000.0
12612,1313,-102.831694549595,46.5565380839362,280000.0,substation,6.671559143371805e-05,3.960093467486135e-05,0.0,5.553624674947871e-06,Low,5.526638030352534e-276,6.671559143371805e-05,0.0,0.0,0.0,0.0,282437.0
12613,25256,-80.7188129048013,46.5154522758545,230000.0,joint,0.00020014677430115418,7.178496558056691e-05,4.451267109268619e-09,1.3197431767634364e-05,High,3.668179438392493e-269,0.00015011008072586562,0.16666666666666666,4.451267109268619e-09,0.5,0.0,847311.0
12614,5370,-81.2702983516421,37.703461842871,284000.0,station,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,0.5,0.0,282437.0
12615,26266,-97.8458493870343,50.371906773225,230000.0,joint,0.00020014677430115418,3.5930787854308794e-05,4.451267109268619e-09,1.055332038151849e-05,Moderate,4.500567448165623e-276,6.671559143371805e-05,0.16666666666666666,4.451267109268619e-09,0.6666666666666666,0.0,690000.0
12616,16505,-80.7778784702841,27.2399168135698,230000.0,substation,0.00020014677430115418,2.9898388059909108e-05,0.0,1.0104506163811318e-05,Moderate,4.076600580168082e-283,0.0,0.0,0.0,3.111111111111111,0.6666666666666666,685000.0
12617,30099,-92.8590656155478,44.0280942524435,392000.0,joint,0.00020014677430115418,0.00011958738432700488,0.0,1.6718733885047125e-05,Severe,1.5885793356993163e-262,0.000240176129161385,0.16666666666666666,0.0,0.0,0.0,847311.0
12618,1986,-76.4009630163688,37.0579926053038,299000.0,substation,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.2,1.0,460000.0
12619,27505,-81.8085041092398,33.3960715103164,179400.0,joint,0.00020014677430115418,6.390493158957084e-05,2.6707602655611712e-08,1.2636045336647118e-05,High,1.1053275653045014e-275,0.0001334311828674361,0.0,2.6707602655611712e-08,1.6,2.0,847311.0
12620,28859,-94.6118322705169,31.5848955327401,345000.0,merge,0.0001334311828674361,5.108968980708259e-05,4.8963938201954804e-08,9.077501816166384e-06,Moderate,1.123758146744541e-255,0.00010674494629394889,0.0,4.8963938201954804e-08,1.25,2.0,483000.0
12621,4631,-81.286038958499,42.9392058748507,255600.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,4.0,2.0,282437.0
12622,18528,-81.8294749202214,38.0556070145346,544000.0,joint,0.0002668623657348722,2.9898388059909108e-05,0.0,1.2737710153781465e-05,High,4.076600580168082e-283,0.0,0.08333333333333333,0.0,1.8,0.75,1129748.0
12623,7580,-117.238833164829,33.1414562114748,253000.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,0.5,0.0,282437.0
12624,28675,-84.7573176924154,33.6986207849155,377000.0,merge,0.0001334311828674361,7.547927967609135e-05,0.0,1.0832722297092147e-05,High,2.2992029228916304e-268,0.00015011008072586562,0.0,0.0,0.0,0.0,1000000.0
12625,6047,-78.6826090953841,42.7276740377585,307000.0,substation,0.0001334311828674361,6.436675211974287e-05,8.012280796683514e-08,1.0084266666027215e-05,Moderate,2.9268982694928187e-21,0.00028072534577304746,0.0,8.012280796683514e-08,0.5,0.0,564874.0
12626,28646,-79.3377290972155,43.838026114136,428800.0,merge,0.0004670091400360264,0.00012520844239925202,1.424405474965958e-07,2.7792395926059906e-05,Severe,1.2936445241759928e-262,0.0003431087559448357,0.023809523809523808,1.424405474965958e-07,1.5714285714285714,1.5,2472437.0
12627,12399,-87.8625270983154,30.8371279572179,247000.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,0.5,0.0,282437.0
12628,16299,-94.5417130908753,37.1874855892581,115000.0,substation,6.671559143371805e-05,3.840002394232455e-05,0.0,5.4650620040688284e-06,Low,5.526638030352534e-276,6.671559143371805e-05,0.0,0.0,0.0,0.0,282437.0
12629,28583,-97.0097498094497,33.0656987790817,345000.0,merge,0.00020014677430115418,4.152177251556652e-05,3.115886976488033e-08,1.098931846231112e-05,High,7.500927140413271e-27,6.671559143371805e-05,0.0,3.115886976488033e-08,3.0,2.0,828000.0
12630,4859,-115.338642379915,36.1560355065802,156400.0,substation,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,0.6666666666666666,0.0,460000.0
12631,8750,-113.393886686325,42.2851659745413,262200.0,station,0.0001334311828674361,8.349493694216061e-05,8.902534218537238e-08,1.1502793320425268e-05,High,3.479644150706573e-13,0.00025659842859122336,0.0,8.902534218537238e-08,0.5,0.0,614000.0
12632,30290,-114.739541047251,36.0160791300221,299000.0,joint,0.00020014677430115418,6.334208510239967e-05,5.7866472420492045e-08,1.2622168722636377e-05,High,7.94442280393276e-09,0.00036322933113913165,0.5,5.7866472420492045e-08,4.814814814814815,3.5,847311.0
12633,28341,-81.8879281838286,28.8149724479748,69000.0,merge,0.00020014677430115418,4.005256081551956e-05,1.7805068437074475e-08,1.0869127653448681e-05,High,7.297675306917332e-270,0.0001334311828674361,0.16666666666666666,1.7805068437074475e-08,1.0,1.0,529000.0
12634,27844,-119.552222572726,39.5597918000919,230000.0,joint,0.00020014677430115418,2.9898388059909108e-05,0.0,1.0104506163811318e-05,Moderate,4.076600580168082e-283,0.0,0.16666666666666666,0.0,3.263157894736842,1.6666666666666667,847311.0
12635,30770,-117.287435375034,33.1163792493296,230000.0,joint,0.0001334311828674361,4.9311349342858274e-05,0.0,8.902935395452622e-06,Moderate,4.865113870899965e-269,0.00017790824382324814,0.0,0.0,0.0,0.0,460000.0
12636,6596,-86.8189225577798,37.9539325775427,307000.0,substation,0.0002668623657348722,0.00010268349965313174,1.8695321858928198e-07,1.8271126904833222e-05,Severe,3.668179438392493e-269,0.00015011008072586562,0.0,1.8695321858928198e-07,3.8,1.0,1192311.0
12637,1892,-114.994032253326,35.7900454175352,229200.0,substation,0.0001334311828674361,3.747690852139828e-05,5.3415205311223425e-08,8.077557471545227e-06,Moderate,2.0775916674455503e-09,0.0003695017371713616,0.0,5.3415205311223425e-08,1.0,1.0,460000.0
12638,4115,-66.0280770633611,45.3309721044255,253000.0,substation,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.0,0.5,564874.0
12639,14748,-82.3022239602916,28.0438525126274,230000.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,2.857142857142857,1.0,230000.0
12640,3238,-118.886960822158,46.2393170318726,396600.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.0,1.0,282437.0
12641,22053,-66.8488754931464,48.0070710122407,345000.0,joint,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.4,0.5,564874.0
12642,21299,-82.9332949172801,36.3696048772126,500000.0,joint,0.00020014677430115418,8.037501752993536e-05,8.457407507610376e-08,1.3901967617915458e-05,High,8.813613903127684e-262,0.00021834193560125908,0.0,8.457407507610376e-08,1.6,2.0,1500000.0
12643,13430,-90.3582905034492,41.4676631441154,220800.0,substation,6.671559143371805e-05,4.265084188353226e-05,0.0,5.778543914167732e-06,Low,5.526638030352534e-276,6.671559143371805e-05,0.0,0.0,0.0,0.0,282437.0
12644,1670,-88.1351133887065,41.9002272856636,331000.0,station,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,2.6,2.0,690000.0
12645,31171,-109.836334445156,46.7295082943533,230000.0,joint,0.00020014677430115418,7.717859200588543e-05,3.561013687414895e-08,1.3622822732683746e-05,High,3.668178885728732e-269,8.895412191162407e-05,0.0,3.561013687414895e-08,1.2,1.0,742437.0
12646,8225,-84.9058388089338,33.4615804335336,221800.0,substation,0.0002668623657348722,4.028057410640882e-05,2.6707602655611712e-08,1.3527041400728802e-05,High,8.578818304377159e-263,0.00010007338715057709,0.08333333333333333,2.6707602655611712e-08,1.3333333333333333,0.3333333333333333,1101874.0
12647,17705,-71.3174546831444,46.0727301636395,253000.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,2.125,3.0,282437.0
12648,28543,-114.97665010811,35.8015206024266,334600.0,merge,6.671559143371805e-05,0.00014932747102084815,0.0,1.3645545965866286e-05,High,2.257366248320431e-09,0.0004983329238189306,0.0,0.0,0.0,0.0,230000.0
12649,12864,-88.1602116580379,45.1122946897654,261000.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.5,1.0,282437.0
12650,18150,-84.3068668669035,32.8809989816258,392000.0,joint,0.00020014677430115418,7.144685290296072e-05,1.3353801327805856e-08,1.3180391854077436e-05,High,1.0534679967293284e-262,0.00015011008072586562,0.16666666666666666,1.3353801327805856e-08,0.5,0.0,847311.0
